team_name,total_goals,matches_played,pct_0_15,pct_16_30,pct_31_45,pct_46_60,pct_61_75,pct_76_90,pct_90plus,penalty_rate,own_goal_rate,avg_goals_per_match,knockout_goal_ratio,mean_minute,cluster
slovakia,5,3,0.0,20.0,0.0,20.0,20.0,40.0,0.0,0.2,0.0,1.6667,0.2,65.4,2
slovenia,5,4,20.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,1.25,0.0,52.2,5
south africa,11,7,9.0909,18.1818,18.1818,27.2727,9.0909,18.1818,0.0,0.1818,0.0,1.5714,0.0,46.5455,0
south korea,39,26,5.1282,7.6923,7.6923,17.9487,28.2051,30.7692,2.5641,0.0,0.0,1.5,0.1538,63.8205,2
soviet union,53,24,16.9811,13.2075,9.434,24.5283,18.8679,15.0943,1.8868,0.0377,0.0189,2.2083,0.1509,49.0,4
spain,108,55,11.1111,20.3704,10.1852,14.8148,19.4444,23.1481,0.9259,0.1481,0.0185,1.9636,0.2407,51.75,4
sweden,80,40,12.5,12.5,18.75,15.0,13.75,26.25,1.25,0.075,0.0125,2.0,0.4875,51.475,4
switzerland,55,26,9.0909,18.1818,18.1818,18.1818,12.7273,23.6364,0.0,0.0,0.0,2.1154,0.2909,49.2727,4
togo,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,5
tunisia,14,9,14.2857,21.4286,7.1429,21.4286,7.1429,28.5714,0.0,0.1429,0.0,1.5556,0.0,49.2143,0
turkey,20,9,35.0,15.0,15.0,5.0,10.0,15.0,5.0,0.0,0.0,2.2222,0.25,38.45,4
ukraine,5,2,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.2,0.0,2.5,0.0,48.0,4
united arab emirates,2,2,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0
united states,40,28,12.5,12.5,22.5,17.5,10.0,22.5,2.5,0.05,0.075,1.4286,0.175,49.975,4
uruguay,89,41,8.9888,21.3483,13.4831,15.7303,14.6067,24.7191,1.1236,0.0449,0.0112,2.1707,0.3933,51.191,4
wales,5,4,0.0,20.0,20.0,20.0,0.0,40.0,0.0,0.2,0.0,1.25,0.0,54.4,0
west germany,131,52,10.687,16.7939,12.2137,16.0305,14.5038,25.9542,3.8168,0.0687,0.0076,2.5192,0.3588,53.8397,4
yugoslavia,60,28,16.6667,25.0,3.3333,15.0,18.3333,20.0,1.6667,0.0333,0.0,2.1429,0.1,47.0667,4
